year,transits,unique_vessels,cargo_volume_tonnes,note,source
2011,41,,,국제상업통항 개시,CHNL
2012,46,,,,CHNL
2013,71,,,역대최고(2023년까지),CHNL
2014,,,,원본 미확보 - 인수인계 문서에 값 없음,
2015,18,,,유가하락+항구이전 급감,CHNL
2016,18,,,,CHNL
2017,,,,원본 미확보 - 인수인계 문서에 값 없음,
2018,27,,,,CHNL
2019,,,,원본 미확보 - 인수인계 문서에 값 없음,
2020,,,,원본 미확보 - 인수인계 문서에 값 없음,
2021,,,,원본 미확보 - 인수인계 문서에 값 없음,
2022,,,,"원본 미확보 - 인수인계 문서에 값 없음 (제재로 재급감 언급됨, 수치 없음)",
2023,75,,2100000,제재 이후 반등,CHNL
2024,97,,3070000,전년대비 화물량 +45%,CHNL
2025,103,88,3200000,재화중량 6.23M톤(+1%),CHNL
