sea,metric,slope_per_year,p_value,r2,start_val,end_val,47년_변화량
Chukchi,연간최소해빙면적(km2),-10255.744833371878,2.693039078459002e-12,0.6663622654377813,431603.72239999997,106291.9558,-471764.2623351064
Chukchi,항행가능일수(개빙>50%),2.521276595744681,1.0473584024666249e-10,0.6081597509904643,15.8,92.6,115.97872340425532
Chukchi,항행가능일수(개빙>80%),1.4823080481036077,9.557100361218899e-08,0.4722683463875441,0.0,31.4,68.18617021276596
East-Siberian,연간최소해빙면적(km2),-20053.165705365398,3.382598006097466e-11,0.6271185818656578,1021771.9880000001,302696.00320000004,-922445.6224468083
East-Siberian,항행가능일수(개빙>50%),1.731845513413506,2.1337978032072075e-09,0.5528712804724009,0.0,52.6,79.66489361702128
East-Siberian,항행가능일수(개빙>80%),0.5379278445883441,0.011237741232774753,0.13446351149676453,0.0,9.8,24.744680851063826
Kara,연간최소해빙면적(km2),-5702.9483391535605,1.2573731163062138e-06,0.40992921714896546,294496.17480000004,63260.870200000005,-262335.6236010638
Kara,항행가능일수(개빙>50%),2.3049259944495835,1.6170687400041598e-11,0.6390100699463982,35.2,121.4,106.02659574468083
Kara,항행가능일수(개빙>80%),2.23022664199815,5.821933310650634e-11,0.6181251352107928,5.2,80.0,102.59042553191489
Laptev,연간최소해빙면적(km2),-8744.833112974096,7.908866172996279e-07,0.421634419593167,445355.2786,198873.36339999997,-402262.32319680846
Laptev,항행가능일수(개빙>50%),2.1837419056429233,3.298724061269113e-10,0.5879507420034807,10.8,87.2,100.45212765957447
Laptev,항행가능일수(개빙>80%),0.9320074005550417,0.000634535712655697,0.2306486036023498,0.0,15.6,42.87234042553192
