region,delay_days,n,mean_pct,median_pct,p_worse,p_better10,p_worse10
chukchi,1,1220,4.097985342637289,-1.05978345260051,0.4713114754098361,0.28688524590163933,0.27377049180327867
chukchi,3,1200,10.773257966694223,-1.8432370318071443,0.47583333333333333,0.37583333333333335,0.33666666666666667
chukchi,5,1180,12.777708567881518,-1.8878833258564693,0.4661016949152542,0.4016949152542373,0.3474576271186441
chukchi,7,1160,13.29543108724923,-4.056044436542402,0.45,0.41982758620689653,0.3543103448275862
chukchi,14,1090,14.776796676942348,-4.356955500851391,0.45504587155963305,0.44403669724770645,0.3642201834862385
east_siberian,1,1220,2.008060861520774,-0.4293736715532468,0.48360655737704916,0.18934426229508197,0.20573770491803278
east_siberian,3,1200,6.712396230313361,-0.5340956863719485,0.49166666666666664,0.3016666666666667,0.2916666666666667
east_siberian,5,1180,9.446233027486596,-0.9730825680218806,0.4872881355932203,0.338135593220339,0.3076271186440678
east_siberian,7,1160,11.839243631100233,-1.9839829183619182,0.46551724137931033,0.3577586206896552,0.2982758620689655
east_siberian,14,1090,20.381616435578326,-1.816542031532603,0.4688073394495413,0.381651376146789,0.3330275229357798
kara,1,1220,2.375497913981568,-0.5909786980442573,0.48278688524590163,0.2442622950819672,0.25
kara,3,1200,7.231651043436373,-0.9621703242918556,0.48583333333333334,0.3475,0.3616666666666667
kara,5,1180,9.561964166180179,-0.30855253001778693,0.4940677966101695,0.3576271186440678,0.34491525423728814
kara,7,1160,11.331997179567082,-1.2244379860335957,0.4836206896551724,0.3586206896551724,0.3646551724137931
kara,14,1090,15.583751889658876,-3.447280025073126,0.46238532110091746,0.4073394495412844,0.37339449541284403
laptev,1,1220,1.4986160629153606,-0.053961820947357,0.49754098360655735,0.16639344262295083,0.17704918032786884
laptev,3,1200,4.200530793618711,-0.07554689609510935,0.49583333333333335,0.2808333333333333,0.2916666666666667
laptev,5,1180,5.899183908925654,-0.4821150579187137,0.4915254237288136,0.2940677966101695,0.2940677966101695
laptev,7,1160,7.408310702095718,-0.567846150492118,0.4853448275862069,0.30344827586206896,0.30603448275862066
laptev,14,1090,10.767445073206291,0.862804217133344,0.5128440366972477,0.30458715596330277,0.336697247706422
