sea,year,min_ice_doy,n_open_days,open_start,open_end,open_span
Chukchi,1979,273,65,228.0,292.0,65.0
Chukchi,1980,228,0,,,
Chukchi,1981,270,0,,,
Chukchi,1982,273,14,257.0,275.0,19.0
Chukchi,1983,232,0,,,
Chukchi,1984,273,22,258.0,279.0,22.0
Chukchi,1985,249,0,,,
Chukchi,1986,262,56,223.0,278.0,56.0
Chukchi,1987,240,6,237.0,242.0,6.0
Chukchi,1988,244,0,,,
Chukchi,1989,255,50,233.0,283.0,51.0
Chukchi,1990,243,79,219.0,297.0,79.0
Chukchi,1991,308,5,306.0,310.0,5.0
Chukchi,1992,246,0,,,
Chukchi,1993,262,73,216.0,288.0,73.0
Chukchi,1994,258,0,,,
Chukchi,1995,275,25,265.0,289.0,25.0
Chukchi,1996,253,38,233.0,270.0,38.0
Chukchi,1997,264,107,218.0,324.0,107.0
Chukchi,1998,271,79,228.0,306.0,79.0
Chukchi,1999,256,75,221.0,295.0,75.0
Chukchi,2000,258,31,247.0,277.0,31.0
Chukchi,2001,269,18,256.0,273.0,18.0
Chukchi,2002,272,82,215.0,296.0,82.0
Chukchi,2003,255,93,216.0,313.0,98.0
Chukchi,2004,245,89,218.0,306.0,89.0
Chukchi,2005,263,97,215.0,311.0,97.0
Chukchi,2006,261,72,241.0,312.0,72.0
Chukchi,2007,272,123,199.0,321.0,123.0
Chukchi,2008,265,91,209.0,299.0,91.0
Chukchi,2009,249,113,203.0,315.0,113.0
Chukchi,2010,264,93,214.0,306.0,93.0
Chukchi,2011,253,118,200.0,319.0,120.0
Chukchi,2012,259,88,218.0,305.0,88.0
Chukchi,2013,256,92,205.0,296.0,92.0
Chukchi,2014,264,85,220.0,304.0,85.0
Chukchi,2015,247,119,194.0,312.0,119.0
Chukchi,2016,258,104,214.0,317.0,104.0
Chukchi,2017,268,140,195.0,334.0,140.0
Chukchi,2018,266,111,208.0,318.0,111.0
Chukchi,2019,261,148,187.0,336.0,150.0
Chukchi,2020,259,122,205.0,328.0,124.0
Chukchi,2021,262,75,216.0,290.0,75.0
Chukchi,2022,261,111,208.0,318.0,111.0
Chukchi,2023,263,105,208.0,312.0,105.0
Chukchi,2024,258,87,219.0,305.0,87.0
Chukchi,2025,261,85,212.0,296.0,85.0
East-Siberian,1979,251,0,,,
East-Siberian,1980,268,0,,,
East-Siberian,1981,254,0,,,
East-Siberian,1982,259,0,,,
East-Siberian,1983,252,0,,,
East-Siberian,1984,261,0,,,
East-Siberian,1985,251,0,,,
East-Siberian,1986,244,0,,,
East-Siberian,1987,241,0,,,
East-Siberian,1988,272,0,,,
East-Siberian,1989,268,24,250.0,275.0,26.0
East-Siberian,1990,248,69,213.0,281.0,69.0
East-Siberian,1991,260,23,253.0,275.0,23.0
East-Siberian,1992,253,0,,,
East-Siberian,1993,257,32,237.0,268.0,32.0
East-Siberian,1994,256,0,,,
East-Siberian,1995,261,0,,,
East-Siberian,1996,256,0,,,
East-Siberian,1997,255,0,,,
East-Siberian,1998,261,0,,,
East-Siberian,1999,251,0,,,
East-Siberian,2000,256,0,,,
East-Siberian,2001,255,0,,,
East-Siberian,2002,270,12,264.0,275.0,12.0
East-Siberian,2003,272,52,233.0,284.0,52.0
East-Siberian,2004,264,26,244.0,269.0,26.0
East-Siberian,2005,278,65,230.0,294.0,65.0
East-Siberian,2006,270,38,246.0,283.0,38.0
East-Siberian,2007,236,94,209.0,302.0,94.0
East-Siberian,2008,269,56,231.0,286.0,56.0
East-Siberian,2009,259,52,230.0,281.0,52.0
East-Siberian,2010,266,45,240.0,284.0,45.0
East-Siberian,2011,255,46,236.0,281.0,46.0
East-Siberian,2012,256,70,222.0,291.0,70.0
East-Siberian,2013,257,18,248.0,265.0,18.0
East-Siberian,2014,260,54,235.0,288.0,54.0
East-Siberian,2015,260,71,217.0,287.0,71.0
East-Siberian,2016,262,73,223.0,295.0,73.0
East-Siberian,2017,255,76,212.0,287.0,76.0
East-Siberian,2018,267,54,243.0,296.0,54.0
East-Siberian,2019,258,83,218.0,300.0,83.0
East-Siberian,2020,279,105,204.0,308.0,105.0
East-Siberian,2021,247,59,225.0,283.0,59.0
East-Siberian,2022,262,50,236.0,285.0,50.0
East-Siberian,2023,263,69,223.0,291.0,69.0
East-Siberian,2024,262,58,231.0,288.0,58.0
East-Siberian,2025,264,27,245.0,271.0,27.0
Kara,1979,265,60,224.0,283.0,60.0
Kara,1980,264,0,,,
Kara,1981,262,11,253.0,264.0,12.0
Kara,1982,263,52,229.0,280.0,52.0
Kara,1983,270,53,232.0,284.0,53.0
Kara,1984,259,78,216.0,293.0,78.0
Kara,1985,273,89,214.0,302.0,89.0
Kara,1986,252,29,243.0,271.0,29.0
Kara,1987,262,58,225.0,285.0,61.0
Kara,1988,248,53,224.0,276.0,53.0
Kara,1989,275,35,250.0,284.0,35.0
Kara,1990,270,50,228.0,277.0,50.0
Kara,1991,265,45,243.0,287.0,45.0
Kara,1992,264,55,221.0,275.0,55.0
Kara,1993,267,64,222.0,285.0,64.0
Kara,1994,283,76,221.0,296.0,76.0
Kara,1995,261,104,192.0,295.0,104.0
Kara,1996,257,30,239.0,268.0,30.0
Kara,1997,270,93,205.0,297.0,93.0
Kara,1998,247,40,233.0,272.0,40.0
Kara,1999,257,41,235.0,280.0,46.0
Kara,2000,259,89,206.0,294.0,89.0
Kara,2001,270,85,209.0,293.0,85.0
Kara,2002,253,61,218.0,278.0,61.0
Kara,2003,272,33,256.0,289.0,34.0
Kara,2004,261,88,202.0,289.0,88.0
Kara,2005,270,96,201.0,296.0,96.0
Kara,2006,244,98,193.0,290.0,98.0
Kara,2007,261,109,198.0,306.0,109.0
Kara,2008,259,102,201.0,302.0,102.0
Kara,2009,276,116,199.0,320.0,122.0
Kara,2010,246,110,196.0,305.0,110.0
Kara,2011,249,129,179.0,307.0,129.0
Kara,2012,277,158,173.0,330.0,158.0
Kara,2013,269,99,196.0,294.0,99.0
Kara,2014,270,89,203.0,291.0,89.0
Kara,2015,263,122,183.0,304.0,122.0
Kara,2016,265,160,177.0,336.0,160.0
Kara,2017,257,114,196.0,309.0,114.0
Kara,2018,235,114,197.0,310.0,114.0
Kara,2019,228,119,186.0,304.0,119.0
Kara,2020,254,164,176.0,341.0,166.0
Kara,2021,271,112,189.0,300.0,112.0
Kara,2022,273,123,187.0,309.0,123.0
Kara,2023,257,105,196.0,300.0,105.0
Kara,2024,241,118,197.0,314.0,118.0
Kara,2025,235,149,176.0,324.0,149.0
Laptev,1979,266,0,,,
Laptev,1980,260,0,,,
Laptev,1981,245,0,,,
Laptev,1982,274,10,268.0,277.0,10.0
Laptev,1983,248,44,227.0,270.0,44.0
Laptev,1984,257,15,251.0,265.0,15.0
Laptev,1985,271,36,240.0,275.0,36.0
Laptev,1986,252,0,,,
Laptev,1987,246,0,,,
Laptev,1988,250,5,248.0,252.0,5.0
Laptev,1989,257,0,,,
Laptev,1990,249,64,217.0,280.0,64.0
Laptev,1991,262,68,211.0,278.0,68.0
Laptev,1992,233,0,,,
Laptev,1993,251,0,,,
Laptev,1994,255,0,,,
Laptev,1995,260,82,208.0,289.0,82.0
Laptev,1996,244,0,,,
Laptev,1997,270,27,240.0,277.0,38.0
Laptev,1998,261,4,,,
Laptev,1999,252,65,213.0,277.0,65.0
