region,year,rows,expected_rows,complete
chukchi,2015,123,123,True
chukchi,2016,123,123,True
chukchi,2017,123,123,True
chukchi,2018,123,123,True
chukchi,2019,123,123,True
chukchi,2020,123,123,True
chukchi,2021,123,123,True
chukchi,2022,123,123,True
chukchi,2023,123,123,True
chukchi,2024,123,123,True
east_siberian,2015,123,123,True
east_siberian,2016,123,123,True
east_siberian,2017,123,123,True
east_siberian,2018,123,123,True
east_siberian,2019,123,123,True
east_siberian,2020,123,123,True
east_siberian,2021,123,123,True
east_siberian,2022,123,123,True
east_siberian,2023,123,123,True
east_siberian,2024,123,123,True
kara,2015,123,123,True
kara,2016,123,123,True
kara,2017,123,123,True
kara,2018,123,123,True
kara,2019,123,123,True
kara,2020,123,123,True
kara,2021,123,123,True
kara,2022,123,123,True
kara,2023,123,123,True
kara,2024,123,123,True
laptev,2015,123,123,True
laptev,2016,123,123,True
laptev,2017,123,123,True
laptev,2018,123,123,True
laptev,2019,123,123,True
laptev,2020,123,123,True
laptev,2021,123,123,True
laptev,2022,123,123,True
laptev,2023,123,123,True
laptev,2024,123,123,True
