region,region_kr,component,mean_component_score,mean_weighted_contribution,mean_share_pct,variance_share_pct,spearman_to_P
ALL,전체,ice,0.5747500941756156,0.2011625329614655,0.5098844119397927,0.8174625643233598,0.866036385159452
ALL,전체,wind,0.3340130491192102,0.06680260982384205,0.16932382449468328,0.04411569885779428,0.27383315173815054
ALL,전체,wave,0.20850464688810877,0.05212616172202719,0.13212359640254523,0.0675581747202105,0.22844146472939447
ALL,전체,cold,0.25192869357304876,0.02519286935730488,0.06385608288093134,0.049746645884133626,0.15002208647846563
ALL,전체,fog,0.4924158187707317,0.04924158187707318,0.12481208428204761,0.02111691621450205,0.09512199036917283
chukchi,추크치해,ice,0.4078433932881461,0.14274518765085112,0.42567651522655287,0.8006953056940428,0.856875992498332
chukchi,추크치해,wind,0.3466698409548297,0.06933396819096595,0.20675892793351955,0.045401785423765516,0.2588646988258462
chukchi,추크치해,wave,0.2386893636424367,0.059672340910609176,0.1779472537902228,0.0756970794627911,0.20368413100866023
chukchi,추크치해,cold,0.18384683049130082,0.01838468304913008,0.05482445988330106,0.035194332725141345,-0.03512905366273461
chukchi,추크치해,fog,0.45201059968130075,0.045201059968130085,0.1347928431664038,0.043011496694259084,0.23287534782323557
east_siberian,동시베리아해,ice,0.6466684445548416,0.2263339555941946,0.5556248757345016,0.7938716894583128,0.8551011701448529
east_siberian,동시베리아해,wind,0.3041351726707727,0.060827034534154556,0.14932365501946251,0.05903507146794297,0.37097473290617844
east_siberian,동시베리아해,wave,0.1645174236123155,0.041129355903078875,0.1009680284281412,0.08476653372078896,0.3377449399588712
east_siberian,동시베리아해,cold,0.24275505729105692,0.024275505729105692,0.05959368676571875,0.0452766746639712,0.07587686599654572
east_siberian,동시베리아해,fog,0.5478444063772359,0.05478444063772358,0.13448975405217595,0.01705003068898402,0.04468464717514015
kara,카라해,ice,0.4802354447102297,0.1680824056485804,0.4430673360077351,0.7824073925601268,0.8668664083680964
kara,카라해,wind,0.3656866947939079,0.07313733895878158,0.19279094566811836,0.05576374575282386,0.3052279359193114
kara,카라해,wave,0.25829429842592255,0.06457357460648064,0.1702167550909975,0.11079834796288823,0.3163680571164567
kara,카라해,cold,0.26992143603093494,0.0269921436030935,0.07115163013768938,0.04915016020049232,0.14308117188152403
kara,카라해,fog,0.4657539723447155,0.046575397234471544,0.12277333309545971,0.0018803535236689248,0.023731442787931163
laptev,랍테프해,ice,0.7642530941492451,0.2674885829522358,0.5865275011324997,0.8234345941443438,0.7377689793411836
laptev,랍테프해,wind,0.31956048805733045,0.06391209761146609,0.1401413192685063,0.04452176107274949,0.415419293238454
laptev,랍테프해,wave,0.1725175018717603,0.04312937546794007,0.09457063377966048,0.06020796900579029,0.3872293582108532
laptev,랍테프해,cold,0.31119145047890245,0.031119145047890245,0.06823556422809299,0.05928113990302505,0.271974919340621
laptev,랍테프해,fog,0.5040542966796748,0.05040542966796748,0.11052498159124072,0.012554535874090673,-0.027764097546277695
