scenario,region,region_kr,month,missing_wave_days,mean_relative_pct,median_relative_pct,winsor_mean_pct,cluster_ci_low,cluster_ci_high,positive_year_share,direction
기준(전체 중앙값),ALL,전체,9,40,13.953270479381512,0.5992256356216363,10.697933788406282,10.006692126923086,18.33307241620777,1.0,증가
기준(전체 중앙값),ALL,전체,10,40,16.05604922804027,4.339673351655737,12.972367053688123,12.09930777142329,20.72114623915746,1.0,증가
기준(전체 중앙값),chukchi,추크치해,9,40,15.364183505303203,-1.2837292982008974,11.091810833449335,9.107197536951881,22.27552387950285,1.0,증가
기준(전체 중앙값),chukchi,추크치해,10,40,26.295597360806752,4.842109362519087,20.630870778001647,18.216008133827987,35.282023308891425,1.0,증가
기준(전체 중앙값),east_siberian,동시베리아해,9,40,17.440009714258,-0.043189947924276995,14.805803934586214,10.42070607690405,25.042683086974968,1.0,증가
기준(전체 중앙값),east_siberian,동시베리아해,10,40,13.760775969186474,5.197290458998038,11.706925517360956,6.096582918435032,22.16904365073787,0.9,증가
기준(전체 중앙값),kara,카라해,9,40,14.394430096001136,2.8202779407002887,11.832141303998817,8.918957059983875,20.33837699689807,1.0,증가
기준(전체 중앙값),kara,카라해,10,40,15.783047651915286,4.411132736663714,14.065187582825494,11.10352102822659,19.937938471928337,1.0,증가
기준(전체 중앙값),laptev,랍테프해,9,40,8.614458601963703,1.0920177916064366,4.988534486726716,3.525033051728259,14.154213463018225,1.0,증가
기준(전체 중앙값),laptev,랍테프해,10,40,8.384775930252568,3.54926061805666,6.6730640684740905,3.411930383413857,14.666180386622068,1.0,증가
결측=0m,ALL,전체,9,40,13.953270479381501,0.5992256356216474,10.697933788406274,10.068760386695732,18.266877700637377,1.0,증가
결측=0m,ALL,전체,10,40,15.930125296823755,4.311236958113341,12.84644312247161,11.906255141444868,20.58733983810526,1.0,증가
결측=0m,chukchi,추크치해,9,40,15.364183505303195,-1.2837292982009252,11.091810833449335,9.195911798559244,22.315920190364906,1.0,증가
결측=0m,chukchi,추크치해,10,40,26.29559736080674,4.842109362519087,20.63087077800164,17.931818921660096,35.03286464450899,1.0,증가
결측=0m,east_siberian,동시베리아해,9,40,17.440009714257993,-0.04318994792427144,14.805803934586196,10.53558636958202,24.628311358613693,1.0,증가
결측=0m,east_siberian,동시베리아해,10,40,13.608104200984059,5.266392555094002,11.554253749158548,5.869694269141156,22.30510969828328,0.9,증가
결측=0m,kara,카라해,9,40,14.394430096001127,2.8202779407002887,11.832141303998815,8.622764639436921,20.375017196520666,1.0,증가
결측=0m,kara,카라해,10,40,15.783047651915279,4.411132736663703,14.065187582825493,10.927310192811333,19.899252205693966,1.0,증가
결측=0m,laptev,랍테프해,9,40,8.6144586019637,1.0920177916064366,4.988534486726709,3.427785320728856,14.395802251511986,1.0,증가
결측=0m,laptev,랍테프해,10,40,8.033751973588943,2.71328060333339,6.322040111810466,2.7408168823385064,14.40293988034348,1.0,증가
결측=구간×월 중앙값,ALL,전체,9,40,13.953270479381501,0.5992256356216474,10.697933788406274,9.890416711139139,18.398570314992334,1.0,증가
결측=구간×월 중앙값,ALL,전체,10,40,16.09377947061105,4.334237422259612,13.010097296258904,12.105024647479855,20.738071241868372,1.0,증가
결측=구간×월 중앙값,chukchi,추크치해,9,40,15.364183505303195,-1.2837292982009252,11.091810833449335,9.291823444906802,22.36512039106698,1.0,증가
결측=구간×월 중앙값,chukchi,추크치해,10,40,26.29559736080674,4.842109362519087,20.63087077800164,18.05033357614244,34.95376143490202,1.0,증가
결측=구간×월 중앙값,east_siberian,동시베리아해,9,40,17.440009714257993,-0.04318994792427144,14.805803934586196,10.442746702482921,24.65591756542291,1.0,증가
결측=구간×월 중앙값,east_siberian,동시베리아해,10,40,13.813220587119242,5.197290458998038,11.75937013529373,5.988977453797186,22.183873275772495,1.0,증가
결측=구간×월 중앙값,kara,카라해,9,40,14.394430096001127,2.8202779407002887,11.832141303998815,8.896791660000032,20.28786807973231,1.0,증가
결측=구간×월 중앙값,kara,카라해,10,40,15.783047651915279,4.411132736663703,14.065187582825493,10.939663009312795,19.921082645199853,1.0,증가
결측=구간×월 중앙값,laptev,랍테프해,9,40,8.6144586019637,1.0920177916064366,4.988534486726709,3.5369142591252767,14.287500682682943,1.0,증가
결측=구간×월 중앙값,laptev,랍테프해,10,40,8.483252282602942,3.3641865454243858,6.771540420824467,3.3720552658422487,14.74100871973485,1.0,증가
